日期,事件,类型
1990年,全球气温纪录被打破,高温
2003年,欧洲热浪,高温
2005年,阿尔卑斯山洪水,强降水
2005年,北极海冰范围出现显著最低值,海冰
2007年,北极海冰范围出现显著最低值,海冰
2012年,北极海冰范围出现显著最低值,海冰
2010年,俄罗斯西部热浪,高温
2010年,巴基斯坦破纪录强降水（导致致命事件）,强降水
2011年,哥本哈根暴雨,强降水
2011年,新西兰南阿尔卑斯山创纪录的冰川高质量损失,冰川
2019年,新西兰南阿尔卑斯山创纪录的冰川高质量损失,冰川
2012年,南极海冰范围创纪录高值,海冰
2013年,南极海冰范围创纪录高值,海冰
2014年9月,南极海冰范围创纪录高值,海冰
2017年以来,南极海冰范围出现一系列最低纪录,海冰
2020年,西伯利亚持续数月的高温,高温
2020年10月,英国有记录以来最湿润的一天,强降水
2021年6月,太平洋西北地区高温极端事件,高温
2021年7月,太平洋西北地区高温极端事件,高温
2021年7月,德国、比利时和荷兰降雨事件,强降水
2021年,意大利北部创纪录降雨强度,强降水
2022年夏季,中国大部分地区高温,高温
2022年夏季,英国高温（首次气温 > 40°C）,高温
2022年2月,澳大利亚降雨事件,强降水
2022年3月,澳大利亚降雨事件,强降水
2022年8月,巴基斯坦季风降雨,强降水
2022年,南极洲创纪录的春季高温异常,高温
2022年,欧洲阿尔卑斯山/瑞士创纪录的冰川损失,冰川
2023年,欧洲阿尔卑斯山/瑞士创纪录的冰川损失,冰川
2023年2月,南极海冰范围达到历史最低值,海冰
2023年,全球海洋热含量达到峰值,海洋热含量
2024年,全球海洋热含量达到峰值,海洋热含量
